District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Goalpara,19503,"(Balijana | 8622), (Matia | 1673), (Rongjuli | 0), (Lakhipur | 9208)",8509,6709,4084,175,26
Hailakandi,674,"(Lala | 0), (Hailakandi | 0), (Algapur | 429), (Katlicherra | 245)",330,175,153,16,0
Udalguri,3178,"(Khairabari | 0), (Mazbat | 280), (Udalguri | 1615), (Kalaigaon | 540), (Harisinga | 743)",1245,1246,592,95,0
Tinsukia,54,"(Tinsukia | 0), (Doomdooma | 54)",25,12,15,2,0
Tamulpur,2923,"(Tamulpur | 1512), (Goreswar | 1411)",927,923,1073,0,0
Sonitpur,287,"(Chariduar | 117), (Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",112,108,61,6,0
Nalbari,23200,"(Ghograpar | 0), (Tihu | 3192), (Paschim Nalbari | 10914), (Banekuchi | 1763), (Barkhetri | 85), (Barbhag | 1746), (Nalbari | 5500)",10422,9226,3245,284,23
Nagaon,12912,"(Samaguri | 0), (Rupahi | 0), (Dhing | 0), (Kaliabor | 0), (Nagaon | 7638), (Raha | 1135), (Kampur | 4139)",4820,4420,3550,110,12
Karimganj,10911,"(RK Nagar | 0), (Badarpur | 1523), (Karimganj | 9303), (Patherkandi | 85)",4413,4361,2134,3,0
Hojai,35383,"(Lanka | 0), (Hojai | 31964), (Doboka | 3419)",18894,15513,970,5,1
Kamrup,8973,"(Rangia | 2419), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 2450), (Goroimari | 0), (Palashbari | 0), (Hajo | 3387), (Kayan | 163), (North Ghy | 554)",3907,3216,1777,66,7
Baksa,277,"(Barnagar RC part | 0), (Jalah | 0), (Baska | 40), (Baganpara | 148), (Barama | 89)",98,133,44,2,0
Bajali,5718,"(Sarupeta | 1702), (Bajali | 4016)",2417,2644,571,77,9
Kamrup (M),23,"(Sonapur | 0), (Chandrapur | 0), (Azara | 0), (Dispur | 0), (Guwahati | 23)",9,11,3,0,0
Chirang,1310,"(Bijni | 569), (Bengtal | 741)",491,442,312,60,5
Bajali,2326,"(Sarupeta | 1702), (Bajali | 624)",988,1014,255,64,5
Baksa,69,"(Barnagar RC part | 0), (Baganpara | 0), (Baska | 0), (Jalah | 0), (Barama | 69)",30,36,3,0,0
Barpeta,88018,"(Barpeta | 82772), (Chenga | 1180), (Sarthebari | 2022), (Kalgachia | 0), (Barnagar | 0), (Baghbar | 2044)",31230,34449,22253,84,2
Bongaigaon,8776,"(Srijangram | 7061), (Manikpur | 1059), (Boitamari | 656)",4014,3545,1128,89,0
Cachar,24343,"(Silchar | 10468), (Lakhipur | 3250), (Sonai | 1940), (Udharbond | 70), (Katigorah | 8615)",10375,8776,5190,0,2
Darrang,4643,"(Dalgaon | 1670), (Patharighat | 0), (Mangaldoi | 1056), (Sipajhar | 1917)",1712,1676,1179,72,4
Dhubri,7068,"(Dhubri | 190), (Agamoni | 0), (Gauripur | 0), (Bilasipara | 6171), (South Salmara Part | 0), (Golakganj | 0), (Athani | 667), (Chapar | 40)",2195,3020,1853,0,0
Goalpara,33391,"(Matia | 1431), (Balijana | 22020), (Lakhipur | 9940), (Dudhnoi | 0), (Rongjuli | 0)",13488,11262,8441,178,22
Hailakandi,245,"(Algapur | 0), (Hailakandi | 0), (Lala | 0), (Katlicherra | 245)",135,23,72,15,0
Hojai,25965,"(Hojai | 22546), (Lanka | 0), (Doboka | 3419)",14174,10832,951,6,2
Kamrup,12569,"(Rangia | 2960), (Goroimari | 0), (Kayan | 1597), (Palashbari | 0), (Nagarbera | 0), (Chaygaon | 0), (Kamalpur | 3053), (Chamaria | 0), (Hajo | 3013), (North Ghy | 1946)",5681,4617,2188,73,10
Karimganj,11309,"(Nilambazar | 0), (RK Nagar | 0), (Badarpur | 1630), (Patherkandi | 85), (Karimganj | 9594)",4584,4488,2234,3,0
Nagaon,15188,"(Kaliabor | 0), (Rupahi | 0), (Dhing | 0), (Samaguri | 0), (Nagaon | 8508), (Kampur | 4980), (Raha | 1700)",5790,5311,3934,140,13
Dima-Hasao,1663,(Haflong | 1663),588,618,400,56,1
Nalbari,21121,"(Ghograpar | 0), (Banekuchi | 1503), (Tihu | 1248), (Barbhag | 1746), (Paschim Nalbari | 10914), (Nalbari | 5500), (Barkhetri | 210)",9374,8471,2967,291,18
Sonitpur,170,"(Chariduar | 0), (Naduar | 0), (Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",46,78,40,6,0
Tamulpur,2307,"(Goreswar | 1121), (Tamulpur | 1186)",813,777,690,27,0
Udalguri,1674,"(Mazbat | 430), (Khairabari | 0), (Udalguri | 738), (Harisinga | 454), (Kalaigaon | 52)",724,681,262,7,0
Dhubri,5483,"(Dhubri | 1887), (Bilasipara | 3292), (Golakganj | 0), (South Salmara Part | 0), (Athani | 304), (Gauripur | 0), (Chapar | 0), (Agamoni | 0)",1767,2333,1383,0,0
Sonitpur,170,"(Thelamara | 0), (Tezpur | 0), (Dhekiajuli | 170)",46,78,40,6,0
Nalbari,13615,"(Tihu | 565), (Paschim Nalbari | 10177), (Barbhag | 1800), (Banekuchi | 643), (Nalbari | 220), (Barkhetri | 210)",6302,5585,1608,105,15
Nagaon,16422,"(Kaliabor | 0), (Rupahi | 0), (Dhing | 0), (Samaguri | 0), (Nagaon | 9744), (Kampur | 4980), (Raha | 1698)",6280,5750,4241,140,11
Morigaon,175,"(Mayong | 0), (Bhuragaon | 0), (Laharighat | 0), (Mikirbheta | 0), (Morigaon | 175)",67,75,33,0,0
Karimganj,20595,"(Badarpur | 2522), (RK Nagar | 0), (Karimganj | 17888), (Patherkandi | 185)",7764,6653,6165,13,0
Kamrup,9313,"(Rangia | 2421), (Kamalpur | 3053), (Kayan | 1597), (Chaygaon | 0), (Nagarbera | 0), (Chamaria | 0), (Palashbari | 0), (Goroimari | 0), (North Ghy | 2192), (Hajo | 50)",3996,3412,1843,59,3
Hojai,13536,"(Hojai | 10117), (Lanka | 0), (Doboka | 3419)",8151,4530,851,4,0
Hailakandi,1051,"(Algapur | 0), (Katlicherra | 0), (Hailakandi | 716), (Lala | 335)",351,360,335,5,0
Goalpara,33363,"(Matia | 1708), (Lakhipur | 14048), (Rongjuli | 0), (Balijana | 17607), (Dudhnoi | 0)",13447,10936,8796,169,15
Tamulpur,518,"(Goreswar | 212), (Tamulpur | 306)",190,162,162,4,0
Darrang,3568,"(Patharighat | 0), (Sipajhar | 865), (Mangaldoi | 1056), (Dalgaon | 1647)",1308,1236,1016,4,4
Bongaigaon,4479,"(Srijangram | 2526), (Boitamari | 656), (Manikpur | 1297)",1660,1519,1223,77,0
